IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.48.92,8880,8880,false,HKG,Asia Pacific,Hong Kong,24,7.61
8.218.181.189,2082,2082,false,HKG,Asia Pacific,Hong Kong,27,3.61
8.218.181.189,8880,8880,false,HKG,Asia Pacific,Hong Kong,31,2.45
8.218.11.90,2086,2086,false,HKG,Asia Pacific,Hong Kong,36,2.22
47.76.178.146,2087,2087,true,HKG,Asia Pacific,Hong Kong,26,1.74
47.76.32.108,2052,2052,false,HKG,Asia Pacific,Hong Kong,26,1.68
47.238.6.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,29,1.04
183.232.159.172,2052,2086,false,HKG,Asia Pacific,Hong Kong,40,0.55
39.115.137.14,443,443,true,HKG,Asia Pacific,Hong Kong,83,0.19
101.36.122.24,19351,443,true,HKG,Asia Pacific,Hong Kong,28,0.10
18.162.97.34,443,443,true,HKG,Asia Pacific,Hong Kong,112,0.08
47.76.218.163,443,443,true,HKG,Asia Pacific,Hong Kong,38,0.06
43.135.95.17,443,443,true,HKG,Asia Pacific,Hong Kong,64,0.03
8.218.228.152,2053,2053,true,HKG,Asia Pacific,Hong Kong,31,0.00
120.220.19.109,2052,2052,false,HKG,Asia Pacific,Hong Kong,65,0.00
219.76.13.166,443,443,true,HKG,Asia Pacific,Hong Kong,40,0.00
120.220.19.103,2052,2052,false,HKG,Asia Pacific,Hong Kong,73,0.00
202.81.231.150,80,80,false,HKG,Asia Pacific,Hong Kong,321,0.00
120.220.19.103,2082,2082,false,HKG,Asia Pacific,Hong Kong,62,0.00
47.76.37.57,80,80,false,HKG,Asia Pacific,Hong Kong,32,0.00
219.76.13.186,443,443,true,HKG,Asia Pacific,Hong Kong,38,0.00
8.217.145.40,8080,8080,false,HKG,Asia Pacific,Hong Kong,32,0.00
219.76.13.180,443,443,true,HKG,Asia Pacific,Hong Kong,23,0.00
219.76.13.181,443,443,true,HKG,Asia Pacific,Hong Kong,27,0.00
8.217.207.60,8080,8080,false,HKG,Asia Pacific,Hong Kong,30,0.00
8.218.174.118,8080,8080,false,HKG,Asia Pacific,Hong Kong,28,0.00
8.217.145.40,80,80,false,HKG,Asia Pacific,Hong Kong,22,0.00
