IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
91.149.239.198,443,443,true,LAX,North America,Los Angeles,216,4.85
154.17.229.161,46749,443,true,LAX,North America,Los Angeles,177,2.70
34.102.111.127,443,443,true,LAX,North America,Los Angeles,169,2.31
154.21.94.58,14280,443,true,LAX,North America,Los Angeles,184,2.07
45.12.88.200,48575,443,true,LAX,North America,Los Angeles,192,1.51
154.17.231.6,34237,2096,true,LAX,North America,Los Angeles,177,1.45
23.169.184.155,22582,443,true,LAX,North America,Los Angeles,191,1.38
212.103.62.226,30129,443,true,LAX,North America,Los Angeles,176,1.38
154.17.25.7,50376,443,true,LAX,North America,Los Angeles,187,1.36
23.224.33.17,11442,443,true,LAX,North America,Los Angeles,203,1.31
91.149.239.234,443,443,true,LAX,North America,Los Angeles,239,1.29
154.17.0.80,564,443,true,LAX,North America,Los Angeles,199,1.26
2.59.151.192,29924,443,true,LAX,North America,Los Angeles,181,1.26
154.23.255.85,59217,443,true,LAX,North America,Los Angeles,185,1.22
154.17.29.69,6667,443,true,LAX,North America,Los Angeles,175,1.18
154.17.10.111,14515,443,true,LAX,North America,Los Angeles,182,1.17
154.17.231.71,57503,443,true,LAX,North America,Los Angeles,182,1.15
206.119.79.166,34237,2096,true,LAX,North America,Los Angeles,184,1.13
2.59.151.232,15110,443,true,LAX,North America,Los Angeles,208,1.11
185.238.248.71,56918,443,true,LAX,North America,Los Angeles,200,1.08
154.17.229.161,48960,443,true,LAX,North America,Los Angeles,171,1.05
154.17.230.128,51888,443,true,LAX,North America,Los Angeles,183,1.01
154.17.4.180,17288,443,true,LAX,North America,Los Angeles,184,0.96
185.238.248.9,12945,443,true,LAX,North America,Los Angeles,215,0.95
154.17.228.15,18478,443,true,LAX,North America,Los Angeles,189,0.94
154.17.12.14,38609,443,true,LAX,North America,Los Angeles,177,0.93
154.17.229.171,12601,443,true,LAX,North America,Los Angeles,184,0.92
154.17.23.129,13551,443,true,LAX,North America,Los Angeles,177,0.89
2.59.151.168,34237,2096,true,LAX,North America,Los Angeles,185,0.89
104.167.247.188,8648,443,true,LAX,North America,Los Angeles,175,0.87
207.60.50.14,8443,443,true,LAX,North America,Los Angeles,196,0.85
118.193.77.12,34237,2096,true,LAX,North America,Los Angeles,181,0.84
38.47.114.55,34237,2096,true,LAX,North America,Los Angeles,168,0.78
104.167.247.188,8548,443,true,LAX,North America,Los Angeles,182,0.76
5.181.219.103,16238,443,true,LAX,North America,Los Angeles,193,0.72
154.17.27.80,18711,443,true,LAX,North America,Los Angeles,189,0.69
154.12.39.241,41847,443,true,LAX,North America,Los Angeles,185,0.69
165.154.36.49,34237,2096,true,LAX,North America,Los Angeles,204,0.68
154.21.95.27,8443,443,true,LAX,North America,Los Angeles,191,0.67
154.17.29.112,32568,443,true,LAX,North America,Los Angeles,170,0.66
185.201.226.246,19582,443,true,LAX,North America,Los Angeles,217,0.64
165.154.182.131,34237,2096,true,LAX,North America,Los Angeles,194,0.60
2.59.151.85,48333,443,true,LAX,North America,Los Angeles,209,0.59
38.60.89.113,44844,443,true,LAX,North America,Los Angeles,179,0.58
154.17.227.69,10000,443,true,LAX,North America,Los Angeles,172,0.58
154.17.16.155,38548,443,true,LAX,North America,Los Angeles,164,0.57
149.248.13.253,443,443,true,LAX,North America,Los Angeles,224,0.51
154.17.229.193,58847,443,true,LAX,North America,Los Angeles,180,0.50
23.165.40.192,24972,443,true,LAX,North America,Los Angeles,183,0.49
154.21.92.2,36433,443,true,LAX,North America,Los Angeles,188,0.47
