IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.106.156,8443,8443,true,SIN,Asia Pacific,Singapore,58,5.70
47.236.144.156,8880,8880,false,SIN,Asia Pacific,Singapore,85,4.56
47.236.180.51,2095,2095,false,SIN,Asia Pacific,Singapore,82,4.51
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,123,4.17
47.237.100.206,2083,2083,true,SIN,Asia Pacific,Singapore,81,3.86
47.236.117.48,2053,2053,true,SIN,Asia Pacific,Singapore,58,3.45
8.219.107.135,2083,2083,true,SIN,Asia Pacific,Singapore,73,3.28
47.236.144.208,2086,2086,false,SIN,Asia Pacific,Singapore,130,3.19
47.236.253.41,8880,8880,false,SIN,Asia Pacific,Singapore,88,3.17
47.236.237.90,2052,2052,false,SIN,Asia Pacific,Singapore,60,3.14
47.236.9.152,8880,8880,false,SIN,Asia Pacific,Singapore,112,2.99
47.245.105.224,2053,2053,true,SIN,Asia Pacific,Singapore,51,2.98
47.237.95.140,2086,2086,false,SIN,Asia Pacific,Singapore,80,2.94
8.222.164.209,2095,2095,false,SIN,Asia Pacific,Singapore,52,2.87
47.237.14.220,2095,2095,false,SIN,Asia Pacific,Singapore,80,2.83
47.236.165.25,2082,2082,false,SIN,Asia Pacific,Singapore,98,2.79
47.237.95.156,2086,2086,false,SIN,Asia Pacific,Singapore,55,2.76
47.236.87.246,8880,8880,false,SIN,Asia Pacific,Singapore,86,2.75
47.236.253.41,2082,2082,false,SIN,Asia Pacific,Singapore,93,2.74
8.219.222.98,2083,2083,true,SIN,Asia Pacific,Singapore,63,2.57
47.237.92.26,2082,2082,false,SIN,Asia Pacific,Singapore,56,2.53
47.236.172.95,2083,2083,true,SIN,Asia Pacific,Singapore,91,2.52
47.237.86.185,2053,2053,true,SIN,Asia Pacific,Singapore,69,2.51
47.237.14.220,2087,2087,true,SIN,Asia Pacific,Singapore,158,2.47
8.219.42.72,2082,2082,false,SIN,Asia Pacific,Singapore,64,2.46
47.236.253.41,2086,2086,false,SIN,Asia Pacific,Singapore,62,2.46
47.236.80.110,8443,8443,true,SIN,Asia Pacific,Singapore,85,2.42
47.245.114.163,2095,2095,false,SIN,Asia Pacific,Singapore,60,2.41
47.236.166.131,2082,2082,false,SIN,Asia Pacific,Singapore,120,2.32
47.236.232.148,2087,2087,true,SIN,Asia Pacific,Singapore,88,2.30
47.236.102.102,2083,2083,true,SIN,Asia Pacific,Singapore,67,2.30
8.222.179.231,2086,2086,false,SIN,Asia Pacific,Singapore,50,2.28
8.222.156.242,8880,8880,false,SIN,Asia Pacific,Singapore,50,2.27
8.222.208.38,2086,2086,false,SIN,Asia Pacific,Singapore,52,2.23
