IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.243.74.220,8443,8443,true,HKG,Asia Pacific,Hong Kong,21,5.16
8.219.104.37,2086,2086,false,SIN,Asia Pacific,Singapore,57,4.37
8.210.192.93,2096,2096,true,HKG,Asia Pacific,Hong Kong,25,4.34
47.236.83.239,2095,2095,false,SIN,Asia Pacific,Singapore,57,4.29
47.237.95.140,2086,2086,false,SIN,Asia Pacific,Singapore,57,3.96
47.236.9.152,8880,8880,false,SIN,Asia Pacific,Singapore,67,3.92
47.236.232.148,2086,2086,false,SIN,Asia Pacific,Singapore,52,3.79
47.236.123.133,2086,2086,false,SIN,Asia Pacific,Singapore,56,3.63
47.236.171.205,2052,2052,false,SIN,Asia Pacific,Singapore,72,3.63
8.219.98.13,8880,8880,false,SIN,Asia Pacific,Singapore,54,3.62
8.219.111.147,8443,8443,true,SIN,Asia Pacific,Singapore,104,3.55
8.210.107.246,2096,2096,true,HKG,Asia Pacific,Hong Kong,51,3.45
8.218.85.128,2086,2086,false,HKG,Asia Pacific,Hong Kong,21,3.39
8.210.9.129,8880,8880,false,HKG,Asia Pacific,Hong Kong,51,3.39
8.219.110.81,8443,8443,true,SIN,Asia Pacific,Singapore,61,3.20
8.219.110.81,8880,8880,false,SIN,Asia Pacific,Singapore,64,3.14
47.237.11.182,2082,2082,false,SIN,Asia Pacific,Singapore,52,3.10
47.76.203.101,8443,8443,true,HKG,Asia Pacific,Hong Kong,28,3.03
8.217.49.34,2095,2095,false,HKG,Asia Pacific,Hong Kong,25,2.97
47.245.96.80,2087,2087,true,SIN,Asia Pacific,Singapore,51,2.96
8.219.191.40,2095,2095,false,SIN,Asia Pacific,Singapore,88,2.96
47.236.83.239,2052,2052,false,SIN,Asia Pacific,Singapore,50,2.87
8.222.164.209,2083,2083,true,SIN,Asia Pacific,Singapore,54,2.87
47.236.118.216,8880,8880,false,SIN,Asia Pacific,Singapore,53,2.85
47.237.14.220,2052,2052,false,SIN,Asia Pacific,Singapore,61,2.76
47.236.150.13,8880,8880,false,SIN,Asia Pacific,Singapore,60,2.74
47.237.81.112,8880,8880,false,SIN,Asia Pacific,Singapore,60,2.69
8.210.100.23,2095,2095,false,HKG,Asia Pacific,Hong Kong,54,2.64
8.210.43.213,2053,2053,true,HKG,Asia Pacific,Hong Kong,27,2.60
47.237.83.20,2052,2052,false,SIN,Asia Pacific,Singapore,55,2.60
8.222.164.209,2096,2096,true,SIN,Asia Pacific,Singapore,58,2.58
8.219.193.202,443,443,true,SIN,Asia Pacific,Singapore,53,2.55
47.237.125.8,8880,8880,false,SIN,Asia Pacific,Singapore,78,2.46
8.219.189.143,2095,2095,false,SIN,Asia Pacific,Singapore,55,2.46
47.236.75.152,2086,2086,false,SIN,Asia Pacific,Singapore,56,2.43
8.210.9.129,2087,2087,true,HKG,Asia Pacific,Hong Kong,53,2.42
8.210.55.134,2053,2053,true,HKG,Asia Pacific,Hong Kong,47,2.37
47.245.114.163,2083,2083,true,SIN,Asia Pacific,Singapore,107,2.37
8.219.142.191,2087,2087,true,SIN,Asia Pacific,Singapore,58,2.36
47.236.168.17,2052,2052,false,SIN,Asia Pacific,Singapore,72,2.35
8.219.193.202,2086,2086,false,SIN,Asia Pacific,Singapore,50,2.32
8.210.65.1,2086,2086,false,HKG,Asia Pacific,Hong Kong,27,2.31
8.210.175.109,8443,8443,true,HKG,Asia Pacific,Hong Kong,33,2.30
8.219.111.147,8880,8880,false,SIN,Asia Pacific,Singapore,51,2.30
47.242.252.237,2082,2082,false,HKG,Asia Pacific,Hong Kong,25,2.30
8.219.107.135,2095,2095,false,SIN,Asia Pacific,Singapore,63,2.27
8.219.114.201,2086,2086,false,SIN,Asia Pacific,Singapore,98,2.22
8.219.99.169,2082,2082,false,SIN,Asia Pacific,Singapore,77,2.19
8.219.222.98,2087,2087,true,SIN,Asia Pacific,Singapore,53,2.18
47.237.8.82,2086,2086,false,SIN,Asia Pacific,Singapore,69,2.17
8.210.48.107,2053,2053,true,HKG,Asia Pacific,Hong Kong,34,2.15
8.210.100.23,2082,2082,false,HKG,Asia Pacific,Hong Kong,47,2.12
8.210.66.190,2095,2095,false,HKG,Asia Pacific,Hong Kong,31,2.09
47.237.10.1,2052,2052,false,SIN,Asia Pacific,Singapore,57,2.07
8.222.164.209,2052,2052,false,SIN,Asia Pacific,Singapore,54,2.05
47.243.74.220,2087,2087,true,HKG,Asia Pacific,Hong Kong,21,2.03
47.245.118.70,2096,2096,true,SIN,Asia Pacific,Singapore,54,2.02
8.210.100.23,2083,2083,true,HKG,Asia Pacific,Hong Kong,63,2.02
47.245.114.163,2086,2086,false,SIN,Asia Pacific,Singapore,55,1.99
47.245.105.224,2086,2086,false,SIN,Asia Pacific,Singapore,56,1.98
47.245.84.124,2083,2083,true,SIN,Asia Pacific,Singapore,90,1.98
8.219.142.191,8880,8880,false,SIN,Asia Pacific,Singapore,97,1.97
47.236.80.110,2086,2086,false,SIN,Asia Pacific,Singapore,61,1.97
