IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.244.192,8880,0,false,SIN,Asia Pacific,Singapore,55,4.78
47.237.95.146,2083,2083,true,SIN,Asia Pacific,Singapore,55,4.55
8.219.122.55,2082,0,false,SIN,Asia Pacific,Singapore,81,4.43
8.222.165.117,2086,0,false,SIN,Asia Pacific,Singapore,72,4.38
47.236.253.41,2095,0,false,SIN,Asia Pacific,Singapore,60,3.70
8.222.156.242,8880,8880,false,SIN,Asia Pacific,Singapore,67,3.65
47.236.144.196,2095,0,false,SIN,Asia Pacific,Singapore,69,3.64
8.219.87.30,2086,0,false,SIN,Asia Pacific,Singapore,63,3.60
8.219.98.13,2086,2086,false,SIN,Asia Pacific,Singapore,63,3.59
8.219.220.88,2095,2095,false,SIN,Asia Pacific,Singapore,59,3.58
47.237.94.140,2086,0,false,SIN,Asia Pacific,Singapore,61,3.57
8.219.126.240,443,0,true,SIN,Asia Pacific,Singapore,53,3.54
8.219.107.135,8880,0,false,SIN,Asia Pacific,Singapore,60,3.38
47.237.10.1,8880,8880,false,SIN,Asia Pacific,Singapore,66,3.24
47.236.130.95,2087,2087,true,SIN,Asia Pacific,Singapore,97,3.21
8.219.111.175,2082,0,false,SIN,Asia Pacific,Singapore,59,3.19
47.237.95.140,8880,0,false,SIN,Asia Pacific,Singapore,58,3.05
8.222.136.247,2086,0,false,SIN,Asia Pacific,Singapore,101,3.01
47.245.105.224,2086,0,false,SIN,Asia Pacific,Singapore,56,2.73
8.219.42.72,2082,0,false,SIN,Asia Pacific,Singapore,55,2.70
8.219.142.191,8880,0,false,SIN,Asia Pacific,Singapore,63,2.59
47.237.125.8,2086,0,false,SIN,Asia Pacific,Singapore,94,2.59
8.222.208.38,2096,0,true,SIN,Asia Pacific,Singapore,60,2.51
47.236.254.120,2082,0,false,SIN,Asia Pacific,Singapore,127,2.50
8.222.208.38,8443,0,true,SIN,Asia Pacific,Singapore,89,2.47
47.237.81.112,2082,2082,false,SIN,Asia Pacific,Singapore,83,2.46
8.219.114.201,2095,0,false,SIN,Asia Pacific,Singapore,116,2.29
47.245.118.70,2083,0,true,SIN,Asia Pacific,Singapore,94,2.21
8.219.200.145,2082,0,false,SIN,Asia Pacific,Singapore,51,2.13
8.219.110.81,2086,0,false,SIN,Asia Pacific,Singapore,59,2.08
8.219.191.40,2086,0,false,SIN,Asia Pacific,Singapore,58,2.00
8.222.179.231,2086,0,false,SIN,Asia Pacific,Singapore,62,1.93
47.236.170.54,2082,0,false,SIN,Asia Pacific,Singapore,105,1.90
8.222.237.131,2086,0,false,SIN,Asia Pacific,Singapore,78,1.80
8.219.83.201,8880,0,false,SIN,Asia Pacific,Singapore,97,1.78
8.219.111.175,8880,0,false,SIN,Asia Pacific,Singapore,61,1.75
47.236.169.15,2086,0,false,SIN,Asia Pacific,Singapore,58,1.70
8.219.193.202,2086,2086,false,SIN,Asia Pacific,Singapore,54,1.66
